b u
b a
&#626 a w
&#626 a w r
&#626 o x&#695
&#626 a y
&#626 a [c]
&#626 a &#660
&#626 i &#661
k' a &#626
z [v] &#626
[n] a h
[n] o h
[n] a x&#695
&#331 [v] p'
&#661 a b
&#661 o b
&#661 u c&#597
&#661 a c&#597'
&#661 i d
&#661 i d
&#661 u d&#622
&#661 u d&#622
&#661 u&#720 d&#622
&#661 a dz
&#661 a&#720 f
&#661 [v] f
&#661 a g
&#661 a&#720 g
&#661 [v] j
&#661 a&#720 [k]
&#661 [v] k'
&#661 a l
&#661 a l
&#661 i l
&#661 a&#720 m
&#661 i m
&#661 o&#720 m
&#661 a [c]
&#661 a n
&#661 a&#720 n
&#661 a&#720 n
&#661 o n
&#661 [v] &#331
&#661 a n &#611&#695
&#661 e &#331
&#661 [v] p
&#661 a r
&#661 a r f
&#661 i r
&#661 [v] r
&#661 u&#720 r
&#661 i s
&#661 a s'
&#661 [v] &#643
&#661 [v] t
&#661 a t'
&#661 a t&#620'
&#661 a ts
&#661 i ts
&#661 a y g
&#661 u z
&#661 a &#661
&#660 [v&#720] b
&#660 [v] b z
&#660 i b
&#660 a d&#622
&#660 u&#720 f
&#660 a [c]
&#660 a &#611
&#660 a&#720 &#611
&#660 a h
&#660 a&#720 h
&#660 a&#720 k&#695
&#660 a l
&#660 i l
&#660 [v] l
&#660 o &#620
&#660 a m
&#660 a m
&#660 [v] n
[v] n
&#660 [v] n n
[v] n&#720
&#660 i n s
&#660 [v] n t
[v] n t
&#660 a n x&#695
&#660 a r
&#660 a r k'
&#660 a &#643
&#660 a a t
&#660 a ts
&#660 a w
&#660 a&#720 y &#643
&#660 a z
&#660 a z
&#295 [v] b
&#295 a&#720 b
&#295 a c&#597
&#295 u b
&#295 a c&#597'
&#295 e d
&#295 u d&#622
&#295 u&#720 d&#622
&#295 a f
&#295 a &#611
&#295 e&#720 [k]
&#295 [v] m
&#295 a m
&#295 a m
&#295 [v] n
&#295 [v] n k
&#295 o n
&#295 u&#720 n
&#295 [v&#720] n
&#295 a p
&#295 u p
&#295 u&#720 p
&#295 a p'
&#295 e r
&#295 a s
&#295 [v] t&#620'
&#295 a w
&#295 [v] y
&#295 a&#720 z
&#295 i z
&#295 o z
&#295 o &#660
&#295 e &#661
h e&#720 &#661
h
h a&#720
h u
h u&#720
h a b
h a&#720 d
h i d
h i&#720 d
h [v] d
h o j
